Date,Trips over the past 24-hours,Miles traveled today,Miles traveled to date,Total Annual Members (All Time),24-Hour Passes Purchased,7-Day Passes Purchased,3-Day Passes Purchased
11/20/2016,20616,45772,"	72615791",205407,350,0,34
11/21/2016,32964,69754,"	72685545",205449,148,0,38
11/22/2016,36723,72592,"	72758137",205479,290,0,35
11/23/2016,34462,73005,"	72831142",205501,481,0,56
11/24/2016,12122,42343,"	72873485",205518,641,0,73
11/25/2016,20980,62444,"	72935929",205545,1011,0,67
11/26/2016,23810,65654,"	73001583",205572,1356,0,44
11/27/2016,24076,74381,"	73075964",205607,945,0,31
11/28/2016,42086,83300,"	73159264",205667,485,0,42
11/29/2016,14584,30989,"	73190253",205696,48,0,9
11/30/2016,24434,52424,"	73242677",205729,117,0,10
12/1/2016,43233,90239,"	73332916",205762,389,0,58
12/2/2016,42358,89092,"	73422008",205794,440,0,52
12/3/2016,29853,70853,"	73492861",205824,854,0,58
12/4/2016,27454,71729,"	73564590",205857,930,0,28
12/5/2016,35927,80214,"	73644804",205897,278,0,38
12/6/2016,33325,67187,"	73711991",205939,228,0,26
12/7/2016,38010,76605,"	73788596",205967,270,0,18
12/8/2016,39621,72219,"	73860815",205998,235,0,23
12/9/2016,33540,63950,"	73924765",206021,214,0,31
12/10/2016,22379,52716,73977481,206033,490,0,20
12/11/2016,17798,41740,"	74019221",206049,287,0,6
12/12/2016,29035,58701,"	74077922",206066,175,0,14
12/13/2016,39023,68858,"	74146780",206090,299,0,21
12/14/2016,37799,71798,"	74218578",206130,257,0,16
12/15/2016,25002,45840,"	74264418",206145,80,0,13
12/16/2016,24484,48288,"	74312706",206171,139,0,11
12/17/2016,6993,22363,"	74335069",206176,36,0,7
12/18/2016,16295,38459,"	74373528",206200,168,0,14
12/19/2016,25648,50405,"	74423933",206225,119,0,12
12/20/2016,27677,50408,"	74474341",206250,202,0,22
12/21/2016,30611,55746,"	74530087",206270,244,0,20
12/22/2016,30874,56441,"	74586528",206293,302,0,18
12/23/2016,26335,53318,"	74639846",206320,399,0,27
12/24/2016,8014,28033,"	74667879",206334,147,0,10
12/25/2016,9919,38209,"	74706088",206369,1052,0,43
12/26/2016,10774,32446,"	74738534",206400,315,0,27
12/27/2016,25946,61379,"	74799913",206450,960,0,68
12/28/2016,23596,52937,"	74852850",206476,619,0,38
12/29/2016,13202,29631,"	74882481",206503,104,0,8
12/30/2016,21366,45743,"	74928224",206543,641,0,49
12/31/2016,15925,46810,"	74975034",206585,798,0,33
1/1/2017,16009,50761,75025795,206624,1237,0,33
1/2/2017,8921,21545,75047340,206675,142,0,15
1/3/2017,14198,25879,75073219,206728,42,0,15
1/4/2017,34039,69966,75143185,206778,475,0,29
1/5/2017,28393,52446,75195631,206845,214,0,17
1/6/2017,24177,48964,75244595,206879,157,0,17
1/7/2017,4425,23556,75268151,206892,21,0,4
1/8/2017,6417,22756,75290907,206907,27,0,2
1/9/2017,15856,35209,75326116,206933,30,0,2
1/10/2017,23232,46216,75372332,206955,67,0,12
1/11/2017,32419,63099,75435431,206981,208,0,37
1/12/2017,39783,84763,75520194,207021,479,0,30
1/13/2017,33611,75847,75596041,207059,373,0,43
1/14/2017,13819,43090,75639131,207087,252,0,33
1/15/2017,17384,50738,75689869,207120,476,0,19
1/16/2017,24110,51664,75741533,207163,448,0,30
1/17/2017,18646,40697,75782230,207198,63,0,15
1/18/2017,30857,57978,75840208,207224,146,0,17
1/19/2017,36561,72077,75912285,207262,391,0,27
1/20/2017,26752,56479,75968764,207288,184,0,19
1/21/2017,26610,64662,76033426,207336,957,0,31
1/22/2017,20523,49368,76082794,207368,520,0,25
1/23/2017,15822,37687,76120481,207399,54,0,20
1/24/2017,13171,35619,76156100,207414,28,0,5
1/25/2017,36931,71418,76227518,207453,301,0,29
1/26/2017,33002,63750,76291268,207501,223,0,28
1/27/2017,32394,70189,76361457,207540,231,0,23
1/28/2017,21302,53955,76415412,207567,402,0,25
1/29/2017,22527,62854,76478266,207620,585,0,26
1/30/2017,29616,59975,76538241,207673,163,0,32
1/31/2017,25169,48684,76586925,207706,62,0,19
2/1/2017,35221,77639,76664564,207749,194,0,22
2/2/2017,34517,70727,76735291,207793,216,0,27
2/3/2017,29632,64701,76799992,207825,181,0,32
2/4/2017,19204,45120,76845112,207861,413,0,14
2/5/2017,20059,50532,76895644,207890,337,0,19
2/6/2017,33415,72513,76968157,207930,305,0,49
2/7/2017,23053,57760,77025917,207962,54,0,17
2/8/2017,40428,90430,77116347,208011,483,0,32
2/9/2017,0,0,77116347,208018,0,0,0
2/10/2017,1997,8344,77124691,208030,15,0,1
2/11/2017,8959,26272,77150963,208037,170,0,13
2/12/2017,5801,26468,77177431,208054,26,0,5
2/13/2017,23857,58710,77236141,208076,72,0,18
2/14/2017,29668,78530,77314671,208099,154,0,16
2/15/2017,32052,72383,77387054,208137,170,0,30
2/16/2017,29120,63551,77450605,208163,104,0,16
2/17/2017,28735,67530,77518135,208200,247,0,37
2/18/2017,30571,99126,77617261,208258,2078,0,114
2/19/2017,36963,125166,77742427,208347,3746,0,122
2/20/2017,32292,91412,77833839,208436,1512,0,75
2/21/2017,32643,84767,77918606,208516,308,0,48
2/22/2017,38119,90651,78009257,208594,439,0,36
2/23/2017,42434,98554,78107811,208658,828,0,88
2/24/2017,47031,117155,78224966,208767,1534,0,119
2/25/2017,33345,104309,78329275,208886,2035,0,77
2/26/2017,24713,75196,78404471,208966,849,0,33
2/27/2017,35984,80194,78484665,209035,388,0,42
2/28/2017,41835,92642,78577307,209119,504,0,60
3/1/2017,40592,85944,78663251,209229,393,0,51
3/2/2017,35739,73839,78737090,209310,320,0,44
3/3/2017,31105,68702,78805792,209370,292,0,39
3/4/2017,15646,43108,78848900,209404,252,0,14
3/5/2017,15919,50924,78899824,209451,312,0,22
3/6/2017,32467,72776,78972600,209536,321,0,39
3/7/2017,29683,63654,79036254,209587,181,0,29
3/8/2017,43470,101573,79137827,209656,694,0,55
3/9/2017,45251,99450,79237277,209728,764,0,34
3/10/2017,18412,41971,79279248,209758,95,0,15
3/11/2017,15185,48379,79327627,209781,183,0,27
3/12/2017,13442,38114,79365741,209799,167,0,9
3/13/2017,27417,58768,79424509,209827,205,0,14
3/14/2017,0,0,79424509,209843,0,0,0
3/15/2017,0,0,79424509,209859,0,0,0
3/16/2017,0,0,79424509,209870,0,0,0
3/17/2017,7098,25393,79449902,209888,151,0,15
3/18/2017,4106,17446,79467348,209910,93,0,6
3/19/2017,10550,33344,79500692,209943,339,0,21
3/20/2017,27378,60363,79561055,210002,288,0,21
3/21/2017,36824,78104,79639159,210073,479,0,47
3/22/2017,26927,55713,79694872,210121,140,0,15
3/23/2017,29885,74345,79769217,210160,291,0,25
3/24/2017,34019,82681,79851898,210199,485,0,39
3/25/2017,29647,86293,79938191,210267,1721,0,60
3/26/2017,19893,55139,79993330,210318,546,0,30
3/27/2017,26301,59614,80052944,210388,318,0,40
3/28/2017,21590,46003,80098947,210448,91,0,20
3/29/2017,42430,91525,80190472,210559,830,0,97
3/30/2017,39746,91041,80281513,210623,669,0,61
3/31/2017,6946,23462,80304975,210670,20,0,5
4/1/2017,23849,67299,80372274,210739,767,0,43
4/2/2017,39779,130087,80502361,210915,3639,0,58
4/3/2017,43484,104217,80606578,211075,970,0,68
4/4/2017,29990,63091,80669669,211171,183,0,23
4/5/2017,47635,108281,80777950,211310,1192,0,59
4/6/2017,18020,44411,80822361,211362,67,0,12
4/7/2017,35779,81358,80903719,211440,456,0,43
4/8/2017,35936,108886,81012605,211589,2719,0,83
4/9/2017,43895,137240,81149845,211806,4390,0,114
4/10/2017,50422,124356,81274201,212050,2164,0,139
4/11/2017,57309,150222,81424423,212298,2699,0,135
4/12/2017,51188,113959,81538382,212484,1493,0,108
4/13/2017,52915,131228,81669610,212648,2388,0,129
4/14/2017,52230,149382,81818992,212812,3451,0,273
4/15/2017,42531,134526,81953518,212950,3981,0,235
4/16/2017,48137,157912,82111430,213172,6143,0,361
4/17/2017,53247,127619,82239049,213385,2019,0,234
4/18/2017,53809,126129,82365178,213580,1624,0,194
4/19/2017,45788,97587,82462765,213703,738,0,55
4/20/2017,44260,108427,82571192,213819,1065,0,172
4/21/2017,39868,92348,82663540,213913,1194,0,129
4/22/2017,34596,101444,82764984,214028,5173,0,102
4/23/2017,49106,142563,82907547,214278,4541,0,420
4/24/2017,48692,103241,83010788,214462,1143,0,123
4/25/2017,20332,47829,83058617,214552,201,0,36
4/26/2017,37727,81859,83140476,214654,595,0,109
4/27/2017,52035,122394,83262870,214793,1412,0,266
4/28/2017,62199,163665,83426535,214965,2963,0,458
4/29/2017,57701,180290,83606825,215219,5699,0,562
4/30/2017,42928,125305,83732130,215455,2921,0,340
5/1/2017,56218,136675,83868805,215724,1813,0,311
5/2/2017,61205,142585,84011390,216017,1827,0,309
5/3/2017,59251,141936,84153326,216239,1537,0,247
5/4/2017,57428,144583,84297909,216436,1626,0,239
5/5/2017,24009,58278,84356187,216535,355,0,52
5/6/2017,46616,127879,84484066,216768,3349,0,363
5/7/2017,34293,90625,84574691,216928,1921,0,196
5/8/2017,51553,114260,84688951,217147,1230,0,253
5/9/2017,56461,118257,84807208,217341,1179,0,199
5/10/2017,58452,136080,84943288,217512,1362,0,225
5/11/2017,57208,135699,85078987,217673,1313,0,205
5/12/2017,56671,132477,85211464,217840,1784,0,189
5/13/2017,5704,28193,85239657,217905,117,0,0
5/14/2017,38729,114819,85354476,218120,2664,0,222
5/15/2017,54715,129870,85484346,218356,1279,0,185
5/16/2017,64504,157411,85641757,218690,1850,0,283
5/17/2017,65791,153500,85795257,219023,1864,0,241
5/18/2017,63753,149837,85945094,219304,1929,0,270
5/19/2017,62143,145832,86090926,219564,2310,0,275
5/20/2017,47858,135405,86226331,219776,3486,0,251
5/21/2017,54873,160019,86386350,220097,4903,0,287
5/22/2017,24627,61049,86447399,220269,218,0,22
5/23/2017,60024,139680,86587079,220513,1579,0,224
5/24/2017,60621,135482,86722561,220735,1558,0,153
5/25/2017,17494,50743,86773304,220840,143,0,27
5/26/2017,53763,133402,86906706,221049,2224,0,306
5/27/2017,46533,145924,87052630,221271,4590,0,511
5/28/2017,46724,151063,87203693,221515,5229,0,374
5/29/2017,26321,75825,87279518,221745,1149,0,77
5/30/2017,50192,114629,87394147,222057,962,0,204
5/31/2017,59494,142097,87536244,222764,1596,0,197
6/1/2017,67404,163063,87699307,222977,1957,0,289
6/2/2017,66905,157299,87856606,223162,2315,0,357
6/3/2017,56263,155712,88012318,223356,4627,0,356
6/4/2017,40138,100571,88112889,223520,2270,0,103
6/5/2017,55882,123795,88236684,223719,1286,0,204
6/6/2017,41268,86679,88323363,223834,523,0,89
6/7/2017,64452,149853,88473216,223969,1536,0,258
6/8/2017,62652,132716,88605932,224131,1631,0,266
6/9/2017,66504,156787,88762719,224289,2513,0,313
6/10/2017,57086,150903,88913622,224455,4764,0,296
6/11/2017,51427,140711,89054333,224654,3941,0,179
6/12/2017,57870,133564,89187897,224889,1561,0,201
6/13/2017,60920,129444,89317341,225078,1407,0,179
6/14/2017,60510,137988,89455329,225231,1573,0,218
6/15/2017,64761,144513,89599842,225430,1885,0,227
6/16/2017,56401,128201,89728043,225556,1507,0,177
6/17/2017,34899,83755,89811798,225683,2243,0,209
6/18/2017,49469,138414,89950212,225864,3730,0,295
6/19/2017,38308,88057,90038269,226025,878,0,158
6/20/2017,64670,146794,90185063,226220,1781,0,215
6/21/2017,67215,154525,90339588,226394,1666,0,258
6/22/2017,66304,158453,90498041,226589,1818,0,260
6/23/2017,55321,129797,90627838,226695,1585,0,205
6/24/2017,52150,141282,90769120,226849,4277,0,314
6/25/2017,54645,158625,90927745,227015,4527,0,256
6/26/2017,62661,145321,91073066,227211,2024,0,297
6/27/2017,64762,151112,91224178,227418,1697,0,229
6/28/2017,67740,159263,91383441,227679,1893,0,208
6/29/2017,64260,146419,91529860,227855,1703,0,210
6/30/2017,58660,132583,91662443,228047,2024,0,293
7/1/2017,36737,107126,91769569,228157,2828,0,372
7/2/2017,43035,128397,91897966,228306,4314,0,458
7/3/2017,48193,130240,92028206,228473,3243,0,316
7/4/2017,49924,146441,92174647,228669,4929,0,315
7/5/2017,60321,149487,92324134,228908,1886,0,267
7/6/2017,62147,140767,92464901,229085,1646,0,264
7/7/2017,44068,103656,92568557,229241,1283,0,216
7/8/2017,55015,146438,92714995,229453,4138,0,333
7/9/2017,57118,159914,92874909,229680,4471,0,340
7/10/2017,60908,141463,93016372,229933,1546,0,359
7/11/2017,61670,141463,93157835,230159,1269,0,227
7/12/2017,61786,132874,93290709,230336,1376,0,179
7/13/2017,56475,126527,93417236,230514,1322,0,180
7/14/2017,31851,70477,93487713,230610,570,0,101
7/15/2017,56499,148067,93635780,230772,4761,0,378
7/16/2017,56833,153666,93789446,230981,4497,0,308
7/17/2017,62555,141323,93930769,231225,1675,0,289
7/18/2017,66234,144623,94075392,231416,1724,0,243
7/19/2017,63916,143277,94218669,231603,1617,0,267
7/20/2017,59665,131871,94350540,231741,1439,0,229
7/21/2017,60074,136330,94486870,231882,1929,0,304
7/22/2017,48013,124272,94611142,232049,3634,0,332
7/23/2017,46945,117035,94728177,232212,3164,0,249
7/24/2017,43793,104460,94832637,232359,989,0,113
7/25/2017,65339,148542,94981179,232521,1549,0,285
7/26/2017,70329,168603,95149782,232674,2054,0,248
7/27/2017,65773,144443,95294225,232820,1666,0,214
7/28/2017,63911,151514,95445739,232984,2293,0,297
7/29/2017,52955,132509,95578248,233138,4085,0,324
7/30/2017,59364,165423,95743671,233360,5214,0,376
7/31/2017,64231,153123,95896794,233614,1862,0,263
8/1/2017,66676,147654,96044448,233824,1813,0,272
8/2/2017,56179,122622,96167070,233958,3291,0,139
8/3/2017,66144,146858,96313928,234160,1849,0,257
8/4/2017,56391,128749,96442677,234312,2212,0,325
8/5/2017,58966,169511,96612188,234524,5299,0,415
8/6/2017,56473,161492,96773680,234715,4686,0,292
8/7/2017,23395,55927,96829607,234851,249,0,34
8/8/2017,65228,145901,96975508,235084,1738,0,331
8/9/2017,67874,170524,97146032,235283,1952,0,300
8/10/2017,66245,151415,97297447,235457,1834,0,262
8/11/2017,63134,147098,97444545,235623,2360,0,358
8/12/2017,60531,173581,97618126,235890,5409,0,405
8/13/2017,57511,162040,97780166,236098,4755,0,337
8/14/2017,61460,139535,97919701,236328,1816,0,294
8/15/2017,52460,105695,98025396,236504,948,0,125
8/16/2017,68434,159032,98184428,236681,1905,0,251
8/17/2017,66654,156810,98341238,236872,2087,0,261
8/18/2017,36619,90704,98431942,236984,840,0,124
8/19/2017,62440,186037,98617979,237324,5992,0,461
8/20/2017,55438,147379,98765358,237518,4218,0,313
8/21/2017,61055,138059,98903417,237710,1832,0,277
8/22/2017,60541,133409,99036826,237878,1477,0,260
8/23/2017,65069,141360,99178186,238057,1712,0,219
8/24/2017,66306,151449,99329635,238257,1820,0,315
8/25/2017,64217,156344,99485979,238406,2316,0,325
8/26/2017,50111,132832,99618811,238546,3621,0,214
8/27/2017,54594,145524,99764335,238771,4135,0,278
8/28/2017,60885,133126,99897461,239016,1616,0,272
8/29/2017,35151,67448,99964909,239163,424,0,104
8/30/2017,65328,147325,100112234,239347,1760,0,309
8/31/2017,64881,144852,100257086,239519,1727,0,260
9/1/2017,54881,129382,100386468,239653,1775,0,294
9/2/2017,37810,107949,100494417,239785,3359,0,420
9/3/2017,30955,83988,100578405,239906,2394,0,175
9/4/2017,55284,164623,100743028,240126,5298,0,362
9/5/2017,65443,140362,100883390,240378,1607,0,265
9/6/2017,42318,86395,100969785,240541,445,0,90
9/7/2017,69571,148669,101118454,240750,1542,0,356
9/8/2017,69616,154397,101272851,240903,1976,0,322
9/9/2017,60187,150847,101423698,241108,4196,0,272
9/10/2017,60750,154588,101578286,241329,4056,0,301
9/11/2017,71964,166177,101744463,241563,1992,0,276
9/12/2017,74623,161263,101905726,241775,1737,0,238
9/13/2017,69616,146802,102052528,241991,1471,0,199
9/14/2017,72128,150535,102203063,242211,1551,0,244
9/15/2017,72361,160138,102363201,242393,2088,0,323
9/16/2017,61077,156839,102520040,242552,4304,0,297
9/17/2017,60003,156834,102676874,242748,3869,0,229
9/18/2017,64207,138078,102814952,242968,1387,0,190
9/19/2017,57977,115451,102930403,243128,914,0,146
9/20/2017,71222,150377,103080780,243309,1385,0,202
9/21/2017,67799,152463,103233243,243503,1690,0,191
9/22/2017,70192,163114,103396357,243715,2315,0,259
9/23/2017,62748,165582,103561939,243967,4821,0,322
9/24/2017,57503,148926,103710865,244277,3681,0,176
9/25/2017,69271,156367,103867232,244551,1537,0,258
9/26/2017,71566,156779,104024011,244809,1359,0,257
9/27/2017,69942,147977,104171988,245051,1268,0,200
9/28/2017,70951,148394,104320382,245299,1490,0,224
9/29/2017,67246,141709,104462091,245558,1875,0,288
9/30/2017,50200,113613,104575704,245923,2694,0,214
10/1/2017,55503,139011,104714715,246193,3511,0,235
10/2/2017,65509,141748,104856463,246402,1408,0,242
10/3/2017,69105,135800,104992263,246566,1258,0,194
10/4/2017,71453,150324,105142587,246742,1377,0,188
10/5/2017,70173,150437,105293024,246893,1365,0,251
10/6/2017,70249,148395,105441419,247025,2104,0,383
10/7/2017,63630,153928,105595347,247206,4996,0,356
10/8/2017,41039,100790,105696137,247336,2233,0,192
10/9/2017,38390,78912,105775049,247453,594,0,84
10/10/2017,74117,155978,105931027,247615,2016,0,312
10/11/2017,63587,126748,106057775,247767,1146,0,161
10/12/2017,61244,123433,106181208,247896,1070,0,169
10/13/2017,67016,136608,106317816,248038,1768,0,308
10/14/2017,58771,142476,106460292,248167,3680,0,347
10/15/2017,56529,137364,106597656,248382,3381,0,276
10/16/2017,61729,125800,106723456,248552,997,0,192
10/17/2017,64480,122345,106845801,248712,1030,0,170
10/18/2017,70233,147842,106993643,248878,1202,0,249
10/19/2017,72311,143664,107137307,249016,1491,0,274
10/20/2017,72174,157255,107294562,249162,2246,0,351
10/21/2017,65872,169402,107463964,249378,5093,0,276
10/22/2017,62148,153444,107617408,249596,4596,0,200
10/23/2017,69273,143899,107761307,249825,1659,0,279
10/24/2017,48077,95599,107856906,249930,466,0,82
10/25/2017,71284,142007,107998913,250090,1133,0,246
10/26/2017,64002,123419,108122332,250187,973,0,191
10/27/2017,69265,139481,108261813,250319,1991,0,352
10/28/2017,61345,143571,108405384,250499,4306,0,317
10/29/2017,9537,20810,108426194,250556,213,0,8
10/30/2017,49246,95502,108521696,250681,771,0,121
10/31/2017,60242,115329,108637025,250892,1076,0,166
11/1/2017,60772,111304,108748329,250975,717,0,125
11/2/2017,70810,144455,108892784,251060,1485,0,291
11/3/2017,71817,147055,109039839,251163,2275,0,335
11/4/2017,53433,120119,109159958,251269,3086,0,243
11/5/2017,34943,76281,109236239,251349,1263,0,80
11/6/2017,57606,116318,109352557,251433,1052,0,133
11/7/2017,36361,69588,109422145,251487,643,0,77
11/8/2017,54211,107852,109529997,251537,597,0,95
11/9/2017,58416,113119,109643116,251591,837,0,171
11/10/2017,38432,74794,109717910,251614,425,0,82
11/11/2017,28142,55350,109773260,251657,832,0,64
11/12/2017,32471,73187,109846447,251699,1191,0,62
11/13/2017,38752,72112,109918559,251751,314,0,47
11/14/2017,52278,95328,110013887,251802,493,0,59
11/15/2017,54230,104590,110118477,251842,524,0,70
11/16/2017,49737,93532,110212009,251884,521,0,74
11/17/2017,48989,93476,110305485,251928,712,0,74
11/18/2017,27745,58136,110363621,251965,872,0,53
11/19/2017,31597,66078,110429699,252008,1020,0,64
11/20/2017,45120,85295,110514994,252041,501,0,49
11/21/2017,52448,95288,110610282,252075,960,0,69
11/22/2017,32297,69530,110679812,252103,458,0,64
11/23/2017,13705,32527,110712339,252115,806,0,103
11/24/2017,23723,64012,110776351,252151,1129,0,95
11/25/2017,30510,73542,110849893,252184,1995,0,85
11/26/2017,27180,60652,110910545,252227,904,0,63
11/27/2017,46732,99410,111009955,252277,553,0,46
11/28/2017,51166,97329,111107284,252316,455,0,58
11/29/2017,55290,107040,111214324,252365,638,0,71
11/30/2017,51699,97110,111311434,252414,509,0,83
12/1/2017,50708,99868,111411302,252473,695,0,123
12/2/2017,38922,83660,111494962,252514,1513,0,100
12/3/2017,33728,77915,111572877,252561,1037,0,66
12/4/2017,49630,92142,111665019,252618,649,0,63
12/5/2017,41792,85008,111750027,252686,381,0,57
12/6/2017,46335,87328,111837355,252724,368,0,55
12/7/2017,45367,94653,111932008,252761,427,0,65
12/8/2017,41330,81217,112013225,252791,443,0,58
12/9/2017,10804,20955,112034180,252811,112,0,15
12/10/2017,19815,43621,112077801,252830,287,0,26
12/11/2017,41838,81071,112158872,252869,456,0,38
12/12/2017,42620,88499,112247371,252915,262,0,42
12/13/2017,32623,60051,112307422,252942,155,0,20
12/14/2017,27494,49648,112357070,252960,134,0,10
12/15/2017,22944,41598,112398668,252980,130,0,9
12/16/2017,19060,38766,112437434,252992,240,0,24
12/17/2017,22403,49790,112487224,253011,343,0,27
12/18/2017,40168,79914,112567138,253054,409,0,34
12/19/2017,49503,97301,112664439,253087,541,0,42
12/20/2017,41461,78833,112743272,253142,422,0,40
12/21/2017,37592,70297,112813569,253180,386,0,47
12/22/2017,34338,62387,112875956,253212,506,0,23
12/23/2017,9608,24205,112900161,253228,112,0,10
12/24/2017,13215,37985,112938146,253250,492,0,39
12/25/2017,6479,26767,112964913,253293,439,0,27
12/26/2017,14113,32919,112997832,253324,220,0,29
12/27/2017,16365,31793,113029625,253346,234,0,33
12/28/2017,13419,34438,113064063,253365,121,0,17
12/29/2017,13759,29284,113093347,253395,177,0,17
12/30/2017,5956,13910,113107257,253407,53,0,10
12/31/2017,6569,18326,113125583,253443,94,0,2
1/1/2018,5499,11483,113137066,253490,123,0,7
1/2/2018,18818,39352,113176418,253558,125,0,12
1/3/2018,24299,42853,113219271,253591,164,0,4
1/4/2018,1922,5328,113224599,253604,2,0,1
1/5/2018,4972,14303,113238902,253614,14,0,0
1/6/2018,4294,9479,113248381,253624,9,0,2
1/7/2018,5640,9387,113257768,253640,41,0,4
1/8/2018,15820,31294,113289062,253661,45,0,4
1/9/2018,25090,50981,113340043,253690,112,0,17
1/10/2018,28252,50218,113390261,253720,142,0,18
1/11/2018,33961,66584,113456845,253757,244,0,15
1/12/2018,22252,46403,113503248,253786,152,0,16
1/13/2018,17758,30418,113533666,253809,355,0,31
1/14/2018,12394,32949,113566615,253827,183,0,9
1/15/2018,17637,41770,113608385,253857,150,0,8
1/16/2018,30278,60053,113668438,253895,189,0,13
1/17/2018,19010,36319,113704757,253921,52,0,12
1/18/2018,27662,52573,113757330,253952,92,0,18
1/19/2018,30525,50322,113807652,253983,216,0,15
1/20/2018,28507,59336,113866988,254025,1044,0,41
1/21/2018,27908,61571,113928559,254092,1013,0,26
1/22/2018,36864,68638,113997197,254144,345,0,25
1/23/2018,28796,63693,114060890,254191,179,0,19
1/24/2018,36078,69596,114130486,254236,232,0,32
1/25/2018,31147,51927,114182413,254263,181,0,16
1/26/2018,33073,61857,114244270,254301,313,0,23
1/27/2018,34348,70146,114314416,254368,1415,0,41
1/28/2018,20100,38221,114352637,254415,334,0,22
1/29/2018,36799,68868,114421505,254466,274,0,33
1/30/2018,27996,59260,114480765,254492,114,0,15
1/31/2018,31276,54440,114535205,254539,141,0,19
2/1/2018,35561,66984,114602189,254590,212,0,27
2/2/2018,26313,50427,114652616,254620,129,0,18
2/3/2018,18385,40020,114692636,254640,263,0,23
2/4/2018,13959,35121,114727757,254670,224,0,7
2/5/2018,29068,56061,114783818,254725,193,0,21
2/6/2018,34102,68060,114851878,254760,160,0,18
2/7/2018,15289,31573,114883451,254781,30,0,4
2/8/2018,31563,60985,114944436,254806,168,0,20
2/9/2018,31567,57070,115001506,254833,223,0,25
2/10/2018,16323,37641,115039147,254857,343,0,26
2/11/2018,8809,21167,115060314,254877,85,0,2
2/12/2018,35138,68283,115128597,254922,339,0,40
2/13/2018,35189,69420,115198017,254968,252,0,31
2/14/2018,39591,80081,115278098,255002,408,0,39
2/15/2018,44193,88474,115366572,255044,501,0,28
2/16/2018,29191,57219,115423791,255088,316,0,37
2/17/2018,17921,38834,115462625,255118,537,0,51
2/18/2018,21537,50512,115513137,255151,938,0,40
2/19/2018,25677,62150,115575287,255217,553,0,50
2/20/2018,44478,98129,115673416,255306,906,0,85
2/21/2018,53110,118306,115791722,255430,1596,0,77
2/22/2018,27010,54857,115846579,255485,147,0,18
2/23/2018,25633,49639,115896218,255534,165,0,22
2/24/2018,25550,61251,115957469,255597,956,0,51
2/25/2018,16149,34052,115991521,255654,231,0,18
2/26/2018,42570,84614,116076135,255747,448,0,54
2/27/2018,48514,107682,116183817,255836,664,0,48
2/28/2018,50707,100855,116284672,255944,637,0,52
3/1/2018,45562,91489,116376161,256022,571,0,45
3/2/2018,6855,23277,116399438,256050,21,0,7
3/3/2018,28361,61107,116460545,256117,851,0,56
3/4/2018,25262,60490,116521035,256189,704,0,33
